,n_total,n_fd,n_nofd,n_train_full,n_train_quantum,n_test,n_qubits,reps,C,min_magn,auc_rbf_full,acc_rbf_full,auc_rbf_sub,acc_rbf_sub,auc_qsvm,acc_qsvm,delta_auc_fair,delta_auc_full,File
0,380,190,190,285,150,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.917109929078014,0.9052631578947368,0.8958333333333334,0.8736842105263158,-0.0212765957446807,-0.0221631205673759,Results/exp_3.0_6_1_150.csv
0,380,190,190,285,200,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8754432624113475,0.8736842105263158,-0.0460992907801418,-0.0425531914893617,Results/exp_3.0_6_1_200.csv
0,380,190,190,285,250,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8976063829787234,0.8736842105263158,-0.0239361702127659,-0.0203900709219858,Results/exp_3.0_6_1_250.csv
0,380,190,190,285,50,95,6,1,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9162234042553192,0.8421052631578947,0.8816489361702128,0.8736842105263158,-0.0345744680851063,-0.0363475177304964,Results/exp_3.0_6_1_50.csv
0,380,190,190,285,100,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.912677304964539,0.8631578947368421,0.9091312056737588,0.8736842105263158,-0.0035460992907802,-0.0088652482269504,Results/exp_3.0_6_2_100.csv
0,380,190,190,285,150,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.917109929078014,0.9052631578947368,0.8882978723404255,0.8736842105263158,-0.0288120567375886,-0.0296985815602838,Results/exp_3.0_6_2_150.csv
0,380,190,190,285,200,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8874113475177305,0.8736842105263158,-0.0341312056737588,-0.0305851063829787,Results/exp_3.0_6_2_200.csv
0,380,190,190,285,250,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8865248226950355,0.8736842105263158,-0.0350177304964538,-0.0314716312056737,Results/exp_3.0_6_2_250.csv
0,380,190,190,285,50,95,6,2,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9162234042553192,0.8421052631578947,0.8594858156028369,0.8736842105263158,-0.0567375886524822,-0.0585106382978724,Results/exp_3.0_6_2_50.csv
0,380,190,190,285,100,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.912677304964539,0.8631578947368421,0.8918439716312058,0.8736842105263158,-0.0208333333333332,-0.0261524822695035,Results/exp_3.0_6_3_100.csv
0,380,190,190,285,150,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.917109929078014,0.9052631578947368,0.87677304964539,0.8736842105263158,-0.040336879432624,-0.0412234042553192,Results/exp_3.0_6_3_150.csv
0,380,190,190,285,200,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.8998226950354611,0.8842105263157894,-0.0217198581560282,-0.0181737588652481,Results/exp_3.0_6_3_200.csv
0,380,190,190,285,250,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9215425531914894,0.8842105263157894,0.9069148936170212,0.8842105263157894,-0.0146276595744681,-0.011081560283688,Results/exp_3.0_6_3_250.csv
0,380,190,190,285,50,95,6,3,1.0,3.0,0.9179964539007092,0.8842105263157894,0.9162234042553192,0.8421052631578947,0.9069148936170212,0.8736842105263158,-0.0093085106382978,-0.011081560283688,Results/exp_3.0_6_3_50.csv
0,380,190,190,285,100,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9073581560283688,0.8526315789473684,0.8346631205673758,0.8736842105263158,-0.0726950354609929,-0.0828900709219858,Results/exp_3.0_8_1_100.csv
0,380,190,190,285,150,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.911790780141844,0.8947368421052632,0.8670212765957446,0.8736842105263158,-0.0447695035460993,-0.050531914893617,Results/exp_3.0_8_1_150.csv
0,380,190,190,285,200,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9029255319148936,0.8736842105263158,0.8625886524822695,0.8736842105263158,-0.040336879432624,-0.0549645390070921,Results/exp_3.0_8_1_200.csv
0,380,190,190,285,250,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9179964539007092,0.8842105263157894,0.8781028368794326,0.8736842105263158,-0.0398936170212766,-0.039450354609929,Results/exp_3.0_8_1_250.csv
0,380,190,190,285,50,95,8,1,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9100177304964538,0.8421052631578947,0.8745567375886525,0.8736842105263158,-0.0354609929078013,-0.0429964539007091,Results/exp_3.0_8_1_50.csv
0,380,190,190,285,100,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9073581560283688,0.8526315789473684,0.9113475177304964,0.8736842105263158,0.0039893617021276,-0.0062056737588652,Results/exp_3.0_8_2_100.csv
0,380,190,190,285,150,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.911790780141844,0.8947368421052632,0.8936170212765957,0.8736842105263158,-0.0181737588652481,-0.0239361702127659,Results/exp_3.0_8_2_150.csv
0,380,190,190,285,200,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9029255319148936,0.8736842105263158,0.8772163120567376,0.8736842105263158,-0.0257092198581559,-0.040336879432624,Results/exp_3.0_8_2_200.csv
0,380,190,190,285,250,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9179964539007092,0.8842105263157894,0.8789893617021277,0.8736842105263158,-0.0390070921985815,-0.0385638297872339,Results/exp_3.0_8_2_250.csv
0,380,190,190,285,50,95,8,2,1.0,3.0,0.9175531914893617,0.8842105263157894,0.9100177304964538,0.8421052631578947,0.8843085106382979,0.8736842105263158,-0.0257092198581559,-0.0332446808510638,Results/exp_3.0_8_2_50.csv
